HTTP Method,Route,Description,Role Required,Request Body,Expected Response
POST,/auth/register,Register a new runner,Public,"{ name, age, gender, contactInfo, password }",201 Created with user profile
POST,/auth/login,Authenticate runner,Public,"{ email, password }",200 OK with JWT token
GET,/users/{id},Get runner profile,Runner,—,Runner details
PUT,/users/{id},Update runner profile,Runner,"{ name, contactInfo }",Updated profile
GET,/races,List all races,Public,—,Array of races
POST,/races,Create a new race,Organizer,"{ name, date, location, distance }",Race object
GET,/races/{id},Get race details,Public,—,Race details
POST,/races/{id}/register,Register runner for race,Runner,"{ runnerId, paymentStatus, categoryId }",Registration confirmation
GET,/races/{id}/results,Get race results,Public,—,Array of results
POST,/races/{id}/results,Submit race result,Organizer,"{ runnerId, finishTime, position, categoryId }",Result object
GET,/categories,List all race categories,Public,—,"Array of categories (e.g., 5km, 10km, Marathon)"
POST,/races/{id}/categories,Add category to race,Organizer,"{ name, distance, ageGroup }",Category object
GET,/races/{id}/categories/{categoryId},Get category details,Public,—,Category details
GET,/sponsors,List sponsors,Public,—,Array of sponsors
POST,/races/{id}/sponsors,Add sponsor to race,Organizer,"{ sponsorId, sponsorshipAmount, type }",RaceSponsor record
